question	real_answer
¿Cuál es el aumento del riesgo de enfermedad respiratoria después de tener neumonía infantil?	El riesgo de desarrollar al menos uno de los principales secuelas se estimó en un 6% después de un evento de neumonía ambulatoria y en un 14% después de un episodio de neumonía hospitalizada.
¿Cuál es el mejor método para identificar la neumonía en una persona?	Los cambios radiológicos en la radiografía de tórax se han considerado como el estándar de oro para definir un evento de neumonía.
¿Qué es la consolidación de puntos finales con respecto al diagnóstico de neumonía?	"El término ""consolidación de punto final"" se describió como una opacidad densa o esponjosa que ocupa una parte o la totalidad de un lóbulo, o todo el pulmón."
¿Qué es responsable de la reducción de la neumonía radiológica?	El uso generalizado de la vacunación conjugada neumocócica y la vacunación conjugada de Haemophilus influenzae tipo B ha disminuido la incidencia de la neumonía radiológica.
¿Cuál es el porcentaje de reducción en los casos de neumonía debido a la vacunación?	Vacunación conjugada contra Haemophilus influenzae tipo B en comunidades de alta carga, la vacunación se asoció con una disminución del 18% en la neumonía radiológica [13]. La introducción de la vacunación conjugada contra el neumococo se asoció con una disminución del 26% en la neumonía radiológica en California entre 1995 y 1998 [14]. En ensayos de eficacia de vacunas en países de bajos y medianos ingresos, la vacunación conjugada contra el neumococo redujo la neumonía radiológica en un 37% en Gambia [15], un 25% en Sudáfrica [16] y un 26% en Filipinas.
¿Cuál es la definición revisada de la OMS de la neumonía bacteriana?	"Se ha introducido una definición de caso revisada de ""neumonía bacteriana presumida"", y esta definición incluye casos de neumonía con consolidación alveolar definida por la OMS, así como aquellos con otras infiltraciones radiográficas torácicas anormales y una proteína C reactiva sérica de al menos 40 mg/L."
¿Cuál es la reducción en la neumonía bacteriana bajo la definición revisada de la OMS de neumonía bacteriana?	Utilizando la definición revisada, la vacuna conjugada pneumocócica de 10 valencias (vacunación conjugada pneumocócica-10), tuvo una eficacia del 22% en la prevención de la neumonía bacteriana presunta en niños pequeños en Sudamérica [22], y la vacunación conjugada pneumocócica-13 tuvo una eficacia del 39% en la prevención de la neumonía bacteriana presunta en niños mayores de 16 semanas que no estaban infectados con el virus de la inmunodeficiencia humana (VIH) en Sudáfrica [21].
¿Qué causó el aumento en la incidencia de empiema en niños en el pasado reciente?	Se observó un aumento en la incidencia de empiema en niños en algunos países de alta renta después de la introducción de la vacunación conjugada neumocócica-7, y esto se atribuyó a serotipos neumocócicos no incluidos en la vacunación conjugada neumocócica-7, especialmente los 3 y 19A.
¿Cómo se ha reducido la incidencia del Empiema?	Esos tendencias se han revertido desde la introducción de la vacunación conjugada neumocócica-13. Los datos de los Estados Unidos sugieren que la empiema disminuyó un 50% en niños menores de 5 años.
¿Qué condiciones relacionadas con la neumonía o afecciones del pecho indican la necesidad de radiografías en niños?	La radiografía del tórax no debería realizarse de forma rutinaria en niños con neumonía ambulatoria [31] [32] [33]. Las indicaciones para la radiografía del tórax incluyen hospitalización, hipoxemia severa o distress respiratorio, tratamiento antibiótico inicial fallido o sospecha de otras enfermedades (tuberculosis, cuerpo extraño inhalado) o complicaciones.
¿Qué enfermedades del pecho y neumonías se identificaron como principales causas antes de la disponibilidad de las vacunas?	Antes de la disponibilidad de nuevas vacunas conjugadas, se confirmó que Streptococcus pneumoniae y Haemophilus influenzae tipo B eran las principales causas bacterianas de neumonía, con Staphylococcus aureus y Klebsiella pneumoniae asociadas con algunos casos severos. El virus respiratorio sincitial fue la principal causa viral, identificado en el 15-40% de los casos de neumonía, seguido de influenza A y B, parainfluenza, metapneumovirus humano y adenovirus.
¿Por qué ha disminuido la inmunidad contra la tos ferina en los bebés?	Debido a que la inmunidad contra la tosferina después de la vacunación con pertussis acelular es menos duradera que la inmunidad después de la infección por tipo salvaje o vacunación con células completas, muchas mujeres en edad reproductiva tienen niveles decrecientes de anticuerpos contra la tosferina.
¿Cuál es el efecto de la tuberculosis infantil en la neumonía infantil?	Una revisión sistemática reciente de la tuberculosis como comorbilidad de la neumonía infantil informó de enfermedad confirmada por cultivo en aproximadamente el 8% de los casos [50]. Debido a que la enfermedad de tuberculosis intratorácica solo se confirma por cultivo en una minoría de los casos, la carga real podría ser aún mayor; por lo tanto, la tuberculosis podría ser un contribuyente importante a la incidencia y mortalidad de la neumonía infantil en áreas de alta prevalencia.
"Los factores de riesgo en la neumonía infantil son:

1. Edad: Los niños menores de 2 años tienen un mayor riesgo de desarrollar neumonía, especialmente aquellos menores de 6 meses.

2. Historia previa de neumonía: Los niños que han tenido neumonía anteriormente tienen un mayor riesgo de desarrollarla de nuevo.

3. Inmunocompromiso: Los niños con un sistema inmunológico debilitado, como aquellos con VIH o que están tomando medicamentos inmunosupresores, tienen un mayor riesgo de desarrollar neumonía.

4. Exposición a humo de tabaco: La exposición al humo de tabaco aumenta el riesgo de neumonía en los niños.

5. Malnutrición: La malnutrición debilita el sistema inmunológico y aumenta el riesgo de neumonía.

6. Prematuridad: Los bebés prematuros tienen un mayor riesgo de desarrollar neumonía.

7. Anomalías congénitas: Los niños nacidos con anomalías congénitas, como cardiopatías o defectos en la pared torácica, tienen un mayor riesgo de desarrollar neumonía.

8. Infecciones respiratorias previas: Los niños que han tenido infecciones respiratorias previas, como bronquitis o sinusitis, tienen un mayor riesgo de desarrollar neumonía.

9. No vacunarse: No vacunar a los niños contra bacterias y virus que pueden causar neumonía, como Streptococcus pneumoniae y Haemophilus influenzae tipo b, aumenta su riesgo de desarrollar la enfermedad.

10. Enfermedades crónicas: Los niños con enfermedades crónicas, como la fibrosis quística o la asma, tienen un mayor riesgo de desarrollar neumonía."	La vacunación incompleta o inadecuada debe considerarse como un factor de riesgo prevenible importante para la neumonía infantil. Otros factores de riesgo incluyen el bajo peso al nacer, que se asocia con 3,2 veces más probabilidades de neumonía severa en países de bajos y medianos ingresos, y 1,8 veces más probabilidades en países de altos ingresos [51]. De manera similar, la falta de lactancia materna exclusiva durante los primeros 4 meses de vida aumenta las probabilidades de neumonía severa en 2,7 veces en países de bajos y medianos ingresos y en 1,3 veces en países de altos ingresos.
¿Cómo afecta la contaminación del aire a la incidencia de la neumonía infantil?	La contaminación del aire interior por el uso de combustibles sólidos o biomasa aumenta las probabilidades de neumonía en 1,6 veces; la falta de vacunación contra el sarampión al final del primer año de edad aumenta las probabilidades de neumonía en 1,8 veces.
¿Cuál es el factor de riesgo más fuerte para la neumonía infantil?	El factor de riesgo más fuerte para la neumonía es la infección por VIH, que es especialmente común en niños de África subsahariana. Los niños infectados con VIH tienen 6 veces más probabilidades de desarrollar neumonía severa o morir en comparación con los niños no infectados con VIH.
¿Cuál es la cobertura global de las vacunas contra la influenza y la neumonía?	Para fines de 2015, la vacunación contra Haemophilus influenzae tipo B conjugado se había introducido en 73 países, con una cobertura global estimada del 68%. Sin embargo, las disparidades siguen siendo evidentes entre las regiones: en las Américas, la cobertura se estima en un 90%, mientras que en el Pacífico Occidental es solo del 25%. En 2015, la vacunación conjugada contra el neumococo se había introducido en 54 países, con una cobertura global del 35% para tres dosis de vacunación conjugada contra el neumococo para poblaciones infantiles.
¿Es seguro vacunarse contra la influenza durante el embarazo? ¿Cuánto tiempo protege al niño?	La vacunación contra la influenza durante el embarazo es segura, ofrece una protección materna razonable contra la influenza y también protege a los bebés durante un período limitado contra la infección confirmada por influenza (eficacia del vacuna del 63% en Bangladesh [63] y del 50,4% en Sudáfrica [64]). Sin embargo, como los niveles de anticuerpos disminuyen bruscamente después del nacimiento, la protección del bebé no persiste mucho más allá de las 8 semanas.
¿Qué es el enfisema?	una rara complicación de la neumonía
¿Qué es el virus del Hepatitis C?	Virus de ARN monocatenario positivo envuelto
¿Cuántas personas tienen hepatitis C crónica?	170 millones de personas en todo el mundo
¿Cuál es el riesgo a largo plazo de la infección crónica por hepatitis C?	Cirrosis y carcinoma hepatocelular
¿Qué tratamientos antivirales se utilizan para la infección por hepatitis C?	Interferón alfa pegilado y ribavirina
¿Cuál es la principal causa de muerte en el período neonatal de los terneros?	Septicemia en terneros
¿Dónde se descubrió por primera vez la hepcidina?	orina humana
¿Qué es la hepcidina?	Hormona peptídica antimicrobiana de bajo peso molecular
¿Qué órgano produce hepcidina?	hígado
¿Qué estimula la liberación de hepcidina?	reacciones inflamatorias y altas concentraciones de Fe
Hepcidin plays a crucial role in regulating iron levels during metabolism.	Hierro
¿Es la hepcidina tóxica?	potencialmente tóxico
¿Por qué es crítico el hierro para las bacterias?	Las bacterias utilizan Fe para sobrevivir, crecer y proliferar.
¿Cómo funciona la hepcidina en el duodeno?	control del exceso de absorción de Fe
¿Cómo afecta la hepcidina a los macrófagos?	regulación de la liberación de Fe
¿Qué lleva al estrés oxidativo en el cuerpo?	producción de ROS
¿Qué parámetro se utiliza para medir los niveles de antioxidantes?	superoxido dismutasa
